iq,rotor
0.350034,43.203133
0.334852,-0.769771
0.317408,-0.764402
0.310195,-0.763731
0.334911,-0.747624
0.35199,-0.738228
0.350053,-0.72749
0.331592,-0.716753
0.304242,-0.710041
0.290564,-0.704001
0.286576,-0.690579
0.285118,-0.686552
0.291411,-0.673801
0.292414,-0.665748
0.289198,-0.657023
0.286628,-0.646285
0.283051,-0.643601
0.291035,-0.634205
0.303494,-0.622796
0.307847,-0.614743
0.309514,-0.604005
0.298854,-0.597294
0.297612,-0.589912
0.308435,-0.588569
0.337,-0.57716
0.36005,-0.565751
0.35756,-0.553671
0.335226,-0.538907
0.294122,-0.528169
0.255469,-0.520115
0.233861,-0.511391
0.235498,-0.501324
0.24364,-0.495284
0.258713,-0.48656
0.275168,-0.473137
0.279823,-0.461057
0.271368,-0.45703
0.2706,-0.445621
0.267955,-0.430857
0.252947,-0.422804
0.244008,-0.41475
0.243857,-0.40871
0.252219,-0.399314
0.2725,-0.387234
0.283587,-0.376496
0.281815,-0.36643
0.275402,-0.358376
0.269431,-0.341598
0.251972,-0.329518
0.232573,-0.322136
0.219543,-0.310727
0.213828,-0.302674
0.212998,-0.293278
0.223087,-0.285225
0.239715,-0.272473
0.247044,-0.259051
0.24146,-0.248313
0.226506,-0.240931
0.217229,-0.23422
0.225004,-0.224153
0.235703,-0.211402
0.231659,-0.199993
0.224461,-0.191268
0.219266,-0.177175
0.20791,-0.161068
0.183255,-0.146303
0.152313,-0.135566
0.131955,-0.123485
0.117712,-0.104694
0.102066,-0.090601
0.088899,-0.081205
0.080016,-0.07181
0.076045,-0.057045
0.074171,-0.040267
0.062726,-0.027516
0.056991,-0.014093
0.053537,-0.001342
0.054186,0.01208
0.044391,0.027516
0.034268,0.041609
0.028627,0.055703
0.030061,0.073152
0.026878,0.091272
0.018944,0.104694
0.020616,0.118116
0.022884,0.13221
0.019305,0.15033
0.013224,0.164424
0.012333,0.177846
0.008429,0.193953
0.006003,0.206704
-0.001168,0.220797
-0.005495,0.232206
-0.002434,0.247642
-0.000686,0.25838
-0.003871,0.271802
-0.005007,0.281198
-0.000406,0.292607
0.006695,0.308714
0.006151,0.32482
0.003521,0.338914
0.001895,0.346296
0.006931,0.364416
0.005985,0.377167
0.000854,0.389248
0.001507,0.395959
-0.002196,0.410723
0.002231,0.42079
0.004387,0.434883
0.006881,0.437568
0.013445,0.444279
0.029866,0.454346
0.038486,0.471795
0.037494,0.485217
0.035515,0.494613
0.027941,0.505351
0.027062,0.518102
0.026327,0.531524
0.021592,0.544947
0.022372,0.55904
0.018726,0.569778
0.018939,0.581187
0.023329,0.58924
0.028406,0.598636
0.03959,0.607361
0.05188,0.620783
0.052502,0.633534
0.05097,0.648299
0.044628,0.662392
0.041498,0.665748
0.052764,0.676486
0.065957,0.68521
0.075225,0.69729
0.085712,0.706015
0.095406,0.71541
0.112338,0.728833
0.112438,0.736886
0.116702,0.744268
0.127823,0.750308
0.146309,0.759704
0.16759,0.770442
0.180748,0.779166
0.188601,0.795273
0.181135,0.803326
0.171226,0.813393
0.159715,0.828829
0.149554,0.838225
0.143513,0.851647
0.133451,0.861714
0.124921,0.869096
0.128512,0.882518
0.133385,0.891914
0.135169,0.905336
0.132661,0.920101
0.125215,0.928154
0.115467,0.942919
0.103365,0.951643
0.09507,0.965066
0.093853,0.981843
0.088306,0.991239
0.076705,1.007346
0.065062,1.02748
0.052257,1.035533
0.048649,1.049626
0.042766,1.067075
0.035956,1.080498
0.029615,1.096604
0.022854,1.11204
0.017867,1.120093
0.017842,1.132845
0.018337,1.151636
0.015698,1.169756
0.00992,1.182507
0.005325,1.201299
-0.000056,1.219419
-0.008095,1.232841
-0.021201,1.247606
-0.023566,1.25633
-0.021952,1.272437
-0.01796,1.282504
-0.014207,1.293242
-0.009473,1.301966
-0.004768,1.310691
-0.000072,1.330153
0.002896,1.342904
0.0028,1.354313
0.005042,1.36438
0.005648,1.380487
0.006193,1.391896
0.006619,1.404647
0.007414,1.417398
0.005839,1.432163
0.001996,1.446927
-0.002887,1.46035
-0.002869,1.473772
-0.009003,1.485181
-0.006062,1.495248
-0.007239,1.509341
-0.006458,1.525448
-0.007067,1.53887
-0.012282,1.555648
-0.020273,1.567057
-0.022026,1.577795
-0.021548,1.591888
-0.019683,1.601955
-0.019582,1.619404
-0.021044,1.626786
-0.019352,1.640209
-0.018578,1.659671
-0.025171,1.668396
-0.029863,1.687858
-0.036114,1.699938
-0.043823,1.710005
-0.040993,1.722085
-0.038415,1.733494
-0.032713,1.738863
-0.023941,1.752957
-0.017157,1.763694
-0.011806,1.775774
-0.010688,1.785841
